51300000435,dgc,47,120
51300015547,ddc,87,62
51300031647,gcf,208,51
51300070036,dcf,247,104
51300073539,fgc,35,152
51300092764,aab,31,72
51300095846,agf,197,32
51300131584,cea,272,253
51300140990,fgg,108,103
51300146646,ebb,247,42
51300146849,bgd,260,46
51300160255,ggc,37,241
51300220516,dac,299,241
51300245816,dbe,189,37
51300283009,bbd,76,218
51300295289,dff,143,254
51300302057,fea,239,210
51300318470,aad,36,180
51300347996,ffg,157,65
51300378827,fgc,189,153
51300428410,abc,78,268
51300434872,bba,214,254
51300538244,fag,178,93
51300547950,cgb,132,205
51300563613,ggb,139,86
51300568887,fce,152,195
51300589330,gfa,16,271
51300639505,gcb,232,185
51300657637,gac,103,240
51300682828,bfc,221,219
51300700035,ged,242,230
51300749347,gbf,229,107
51300764800,adf,175,280
51300779425,gfg,107,196
51300788130,cea,77,270
51300789688,fcf,13,261
51300799339,agb,186,5
51300830876,fba,216,211
51300883297,ebg,194,75
51300917752,daa,51,140
51300925362,feg,79,274
51300943746,efb,166,202
51300961035,acd,166,150
51300982025,fea,32,205
51300993128,efg,233,279
51301033480,bag,163,58
51301120356,bgc,177,6
51301206307,dfd,59,262
51301210013,cdg,31,152
51301242626,dfe,59,68
51301264188,bgf,288,41
51301274412,fcb,116,277
51301281979,fbe,196,271
51301366030,acd,119,120
51301456749,fec,253,161
51301457320,dac,79,228
51301475559,cba,35,135
51301536190,ded,249,234
51301548660,abb,93,39
51301556862,eef,209,17
51301577943,eag,135,212
51301580967,aea,210,142
51301582113,bgc,9,5
51301590834,dbc,147,256
51301594665,dff,17,284
51301599455,gba,119,72
51301614291,adb,249,191
51301615024,dcd,253,147
51301624233,gbe,13,202
51301654671,ddf,211,89
51301712250,dag,176,253
51301718161,fcb,283,293
51301720834,eaf,124,116
51301746218,bcb,237,153
51301775129,egg,195,257
51301782717,ccg,284,250
51301798740,ddf,49,77
51301802805,ecc,158,29
51301845996,ccb,245,137
51301900871,gec,57,26
51301918395,agg,80,274
51301947238,bef,6,256
51301978429,cfb,183,195
51301994292,bdf,11,135
51302006192,dab,243,211
51302006429,cga,283,31
51302069401,aae,133,10
51302113112,eeb,219,13
51302115569,gac,12,264
51302127230,bgd,250,43
51302128958,fda,122,98
51302183781,bad,173,17
51302194745,dag,149,232
51302200790,acb,237,162
51302253494,cde,6,184
51302262357,ceg,41,13
51302272939,aaf,100,251
51302288540,ggb,295,79
51302306041,feg,196,257
51302338869,gac,262,300
51302359640,fga,142,41
51302374972,bbc,200,208
51302379052,fcg,94,261
51302379940,aae,282,11
51302387621,gbd,261,11
51302392169,fgc,278,148
51302438573,ggg,194,137
51302450881,bbf,291,88
51302461023,cec,255,293
51302465360,ffa,293,6
51302515369,egg,74,239
51302545236,dgf,263,271
51302600871,gad,212,22
51302613574,fcc,98,98
51302618322,gad,29,24
51302641017,ggf,226,204
